frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
odom,-0.034011,2.057985,-0.709466,0.704739,12
odom,-0.034505,1.983334,-0.709419,0.704787,12
odom,-0.034870,1.926888,-0.709365,0.704842,12
odom,-0.035100,1.890466,-0.709310,0.704896,12

odom,-0.027298,3.542416,-0.708851,0.705358,13
odom,-0.027937,3.422030,-0.709108,0.705100,13
odom,-0.028638,3.312488,-0.709599,0.704605,13
odom,-0.029414,3.203151,-0.709617,0.704587,13
odom,-0.030213,3.093885,-0.709747,0.704457,13
odom,-0.031067,2.984650,-0.709974,0.704228,13
odom,-0.031996,2.875444,-0.710236,0.703964,13
odom,-0.032993,2.766267,-0.710412,0.703786,13
odom,-0.033910,2.657121,-0.709720,0.704484,13
odom,-0.034451,2.548023,-0.707995,0.706218,13
odom,-0.034522,2.446082,-0.706769,0.707445,13
odom,-0.034413,2.350148,-0.706679,0.707534,13
odom,-0.034365,2.259990,-0.707187,0.707026,13
odom,-0.034425,2.174234,-0.707546,0.706667,13
odom,-0.034556,2.092600,-0.707834,0.706379,13
odom,-0.034735,2.015340,-0.708070,0.706142,13
odom,-0.034950,1.939666,-0.708175,0.706037,13
odom,-0.035415,1.840467,-0.709251,0.704956,13

odom,-0.027531,3.492390,-0.708767,0.705443,14
odom,-0.028076,3.375434,-0.708739,0.705471,14
odom,-0.028585,3.270702,-0.708904,0.705305,14
odom,-0.029107,3.167649,-0.708883,0.705326,14
odom,-0.029632,3.064597,-0.708922,0.705287,14
odom,-0.030166,2.961547,-0.708952,0.705257,14
odom,-0.030714,2.858503,-0.709014,0.705194,14
odom,-0.031279,2.755465,-0.709064,0.705144,14
odom,-0.031868,2.652437,-0.709185,0.705022,14
odom,-0.032439,2.549420,-0.708935,0.705274,14
odom,-0.032939,2.446414,-0.708700,0.705510,14
odom,-0.033381,2.340807,-0.708484,0.705727,14
odom,-0.033739,2.242854,-0.708322,0.705889,14
odom,-0.034079,2.150362,-0.708502,0.705709,14
odom,-0.034434,2.062390,-0.708577,0.705634,14
odom,-0.034790,1.979054,-0.708663,0.705547,14
odom,-0.035155,1.897381,-0.708710,0.705500,14
odom,-0.035720,1.790468,-0.709201,0.705006,14

odom,-0.027769,3.442406,-0.708790,0.705420,15
odom,-0.028082,3.322559,-0.707275,0.706939,15
odom,-0.027982,3.214060,-0.706314,0.707899,15
odom,-0.027635,3.105569,-0.705672,0.708539,15
odom,-0.027087,2.997094,-0.705009,0.709198,15
odom,-0.026318,2.888633,-0.704226,0.709976,15
odom,-0.025300,2.780194,-0.703391,0.710803,15
odom,-0.024113,2.671780,-0.703116,0.711075,15
odom,-0.023117,2.563407,-0.704627,0.709578,15
odom,-0.023385,2.455135,-0.711327,0.702861,15
odom,-0.025410,2.353299,-0.716767,0.697312,15
odom,-0.028021,2.257524,-0.716507,0.697580,15
odom,-0.030287,2.167465,-0.715317,0.698800,15
odom,-0.032173,2.081784,-0.714307,0.699833,15
