frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,-0.894616,0.054893,0.599011,-0.800741,0.024247,0.174061
/odom,/base_footprint,-0.894534,0.054617,0.588119,-0.808774,-0.004325,0.099393
/odom,/base_footprint,-0.895043,0.056182,0.587691,-0.809086,-0.044276,-0.031428
/odom,/base_footprint,-0.896349,0.060212,0.588274,-0.808661,-0.036489,0.023688
/odom,/base_footprint,-0.897098,0.062477,0.578345,-0.815792,-0.004125,0.311426
/odom,/base_footprint,-0.896992,0.062191,0.568026,-0.823011,0.002215,0.260282
/odom,/base_footprint,-0.897129,0.062541,0.562537,-0.826772,-0.007034,0.094578
/odom,/base_footprint,-0.897138,0.062562,0.562170,-0.827022,-0.000150,-0.000082
/odom,/base_footprint,-0.897339,0.063072,0.563349,-0.826219,-0.009269,-0.094516
/odom,/base_footprint,-0.898569,0.066304,0.568707,-0.822540,-0.051735,-0.020289
/odom,/base_footprint,-0.899647,0.069149,0.566302,-0.824198,-0.020170,0.145348
/odom,/base_footprint,-0.900333,0.070878,0.552448,-0.833547,-0.007692,0.379463
/odom,/base_footprint,-0.900639,0.071557,0.534069,-0.845441,-0.010846,0.506006
/odom,/base_footprint,-0.901036,0.072351,0.516577,-0.856241,-0.009091,0.515320
/odom,/base_footprint,-0.901718,0.073539,0.489444,-0.872035,-0.015608,0.528201
/odom,/base_footprint,-0.902235,0.074348,0.466796,-0.884365,-0.006036,0.508038
/odom,/base_footprint,-0.902323,0.074474,0.448654,-0.893706,-0.000046,0.509751
/odom,/base_footprint,-0.902685,0.074920,0.420889,-0.907112,-0.007586,0.516166
/odom,/base_footprint,-0.903311,0.075622,0.397202,-0.917731,-0.010124,0.520565
/odom,/base_footprint,-0.903543,0.075863,0.378289,-0.925687,-0.001006,0.507934
/odom,/base_footprint,-0.903656,0.075969,0.359343,-0.933206,-0.003646,0.512200
/odom,/base_footprint,-0.902071,0.074707,0.325308,-0.945608,0.049559,0.520952
/odom,/base_footprint,-0.897465,0.071287,0.305784,-0.952101,0.104941,0.510501
/odom,/base_footprint,-0.888890,0.065419,0.286325,-0.958133,0.153085,0.508576
/odom,/base_footprint,-0.866219,0.051700,0.251663,-0.967815,0.197869,0.521685
/odom,/base_footprint,-0.852743,0.044541,0.231413,-0.972856,0.183509,0.521404
/odom,/base_footprint,-0.839201,0.038070,0.211211,-0.977440,0.206862,0.513700
/odom,/base_footprint,-0.809875,0.026047,0.175948,-0.984399,0.235414,0.514786
/odom,/base_footprint,-0.791883,0.019818,0.155996,-0.987758,0.238006,0.499411
/odom,/base_footprint,-0.773077,0.014144,0.136798,-0.990599,0.267744,0.445488
/odom,/base_footprint,-0.730223,0.003301,0.112539,-0.993647,0.367916,0.330166
/odom,/base_footprint,-0.699413,-0.003354,0.100867,-0.994900,0.424974,0.233419
/odom,/base_footprint,-0.664937,-0.010146,0.094015,-0.995571,0.457208,0.125614
/odom,/base_footprint,-0.600312,-0.022098,0.088863,-0.996044,0.480355,0.071284
/odom,/base_footprint,-0.561588,-0.028973,0.087193,-0.996192,0.498883,0.009353
/odom,/base_footprint,-0.522182,-0.035921,0.087508,-0.996164,0.500873,-0.047482
/odom,/base_footprint,-0.453363,-0.048808,0.100111,-0.994976,0.499893,-0.299688
/odom,/base_footprint,-0.414266,-0.057341,0.115333,-0.993327,0.500439,-0.451007
/odom,/base_footprint,-0.375971,-0.067144,0.135133,-0.990827,0.475600,-0.521137
/odom,/base_footprint,-0.311715,-0.087582,0.170894,-0.985289,0.493862,-0.509883
/odom,/base_footprint,-0.275313,-0.101444,0.191058,-0.981579,0.484476,-0.512803
/odom,/base_footprint,-0.222536,-0.124698,0.221092,-0.975253,0.474247,-0.512566
/odom,/base_footprint,-0.180119,-0.146325,0.245917,-0.969291,0.479335,-0.509067
/odom,/base_footprint,-0.146667,-0.165359,0.265640,-0.964072,0.480432,-0.510949
/odom,/base_footprint,-0.113964,-0.185781,0.285267,-0.958448,0.485211,-0.508870
/odom,/base_footprint,-0.058184,-0.225120,0.319251,-0.947670,0.488260,-0.510619
/odom,/base_footprint,-0.027259,-0.249635,0.338444,-0.940987,0.495316,-0.507169
/odom,/base_footprint,0.017634,-0.289090,0.366922,-0.930252,0.499541,-0.507482
/odom,/base_footprint,0.046299,-0.316946,0.384879,-0.922967,0.499315,-0.469087
/odom,/base_footprint,0.087035,-0.360514,0.411891,-0.911233,0.496082,-0.510112
/odom,/base_footprint,0.118908,-0.398644,0.434967,-0.900447,0.496856,-0.510147
/odom,/base_footprint,0.143081,-0.430416,0.453201,-0.891409,0.500221,-0.508970
/odom,/base_footprint,0.176948,-0.479963,0.480173,-0.877174,0.499828,-0.508505
/odom,/base_footprint,0.202822,-0.522731,0.501851,-0.864954,0.500105,-0.493288
/odom,/base_footprint,0.221985,-0.557856,0.519014,-0.854766,0.500144,-0.502047
/odom,/base_footprint,0.248038,-0.611889,0.544514,-0.838751,0.500023,-0.501364
/odom,/base_footprint,0.263584,-0.648749,0.561216,-0.827670,0.500096,-0.500655
/odom,/base_footprint,0.277640,-0.686198,0.577685,-0.816260,0.499990,-0.501052
/odom,/base_footprint,0.298590,-0.752981,0.605912,-0.795531,0.500008,-0.499898
/odom,/base_footprint,0.308446,-0.791748,0.621691,-0.783263,0.500046,-0.499792
/odom,/base_footprint,0.320308,-0.850560,0.644884,-0.764280,0.500055,-0.499472
/odom,/base_footprint,0.326249,-0.890118,0.660021,-0.751247,0.500088,-0.499257
/odom,/base_footprint,0.332188,-0.949819,0.682223,-0.731144,0.500067,-0.499019
/odom,/base_footprint,0.334459,-0.999762,0.698882,-0.715237,0.499916,-0.431680
/odom,/base_footprint,0.334725,-1.039756,0.710174,-0.704026,0.499928,-0.367154
/odom,/base_footprint,0.333413,-1.089736,0.721827,-0.692074,0.499885,-0.285645
/odom,/base_footprint,0.329935,-1.149622,0.732180,-0.681111,0.499936,-0.220484
/odom,/base_footprint,0.326726,-1.189493,0.737236,-0.675635,0.499919,-0.150630
/odom,/base_footprint,0.323019,-1.229313,0.740753,-0.671777,0.499921,-0.087355
/odom,/base_footprint,0.316152,-1.298958,0.740379,-0.672189,0.499966,0.038324
/odom,/base_footprint,0.312343,-1.338784,0.739801,-0.672826,0.500130,0.010606
/odom,/base_footprint,0.308563,-1.378608,0.740009,-0.672597,0.499995,-0.043454
/odom,/base_footprint,0.301706,-1.448269,0.741206,-0.671278,0.499867,0.009658
/odom,/base_footprint,0.297761,-1.488070,0.741185,-0.671301,0.500019,-0.004140
/odom,/base_footprint,0.293801,-1.527880,0.741478,-0.670977,0.500067,-0.020631
