tf_odom_map_tran_x,tf_odom_map_tran_y,tf_odom_map_tran_z,tf_odom_map_rot_x,tf_odom_map_rot_y,tf_odom_map_rot_z,tf_odom_map_rot_w
-0.012366,-0.010674,0.000000,0.000000,0.000000,0.006186,0.999981
-0.012366,-0.010674,0.000000,0.000000,0.000000,0.006186,0.999981
-0.012366,-0.010674,0.000000,0.000000,0.000000,0.006186,0.999981
-0.012366,-0.010674,0.000000,0.000000,0.000000,0.006186,0.999981
-0.012366,-0.010674,0.000000,0.000000,0.000000,0.006186,0.999981
-0.001306,-0.004883,0.000000,0.000000,0.000000,0.004497,0.999990
-0.001306,-0.004883,0.000000,0.000000,0.000000,0.004497,0.999990
-0.001306,-0.004883,0.000000,0.000000,0.000000,0.004497,0.999990
-0.001306,-0.004883,0.000000,0.000000,0.000000,0.004497,0.999990
-0.001306,-0.004883,0.000000,0.000000,0.000000,0.004497,0.999990
0.000829,0.001045,0.000000,0.000000,0.000000,0.003337,0.999994
0.000829,0.001045,0.000000,0.000000,0.000000,0.003337,0.999994
0.000829,0.001045,0.000000,0.000000,0.000000,0.003337,0.999994
0.000829,0.001045,0.000000,0.000000,0.000000,0.003337,0.999994
0.000829,0.001045,0.000000,0.000000,0.000000,0.003337,0.999994
0.003594,0.004084,0.000000,0.000000,0.000000,0.002181,0.999998
0.003594,0.004084,0.000000,0.000000,0.000000,0.002181,0.999998
0.003594,0.004084,0.000000,0.000000,0.000000,0.002181,0.999998
0.003594,0.004084,0.000000,0.000000,0.000000,0.002181,0.999998
0.003594,0.004084,0.000000,0.000000,0.000000,0.002181,0.999998
-0.002106,-0.001139,0.000000,0.000000,0.000000,0.003343,0.999994
-0.002106,-0.001139,0.000000,0.000000,0.000000,0.003343,0.999994
-0.002106,-0.001139,0.000000,0.000000,0.000000,0.003343,0.999994
-0.002106,-0.001139,0.000000,0.000000,0.000000,0.003343,0.999994
-0.002106,-0.001139,0.000000,0.000000,0.000000,0.003343,0.999994
0.007688,-0.005619,0.000000,0.000000,0.000000,0.001950,0.999998
0.007688,-0.005619,0.000000,0.000000,0.000000,0.001950,0.999998
0.007688,-0.005619,0.000000,0.000000,0.000000,0.001950,0.999998
0.007688,-0.005619,0.000000,0.000000,0.000000,0.001950,0.999998
0.007688,-0.005619,0.000000,0.000000,0.000000,0.001950,0.999998
-0.000124,-0.001404,0.000000,0.000000,0.000000,0.003488,0.999994
-0.000124,-0.001404,0.000000,0.000000,0.000000,0.003488,0.999994
-0.000124,-0.001404,0.000000,0.000000,0.000000,0.003488,0.999994
-0.000124,-0.001404,0.000000,0.000000,0.000000,0.003488,0.999994
